Wavelength(nm)	n	k
3100	1.70702	2.84e-07
3110	1.70670	2.89e-07
3120	1.70638	2.95e-07
3130	1.70605	3.02e-07
3140	1.70573	3.08e-07
3150	1.70540	3.14e-07
3160	1.70507	3.21e-07
3170	1.70474	3.27e-07
3180	1.70441	3.34e-07
3190	1.70408	3.41e-07
3200	1.70375	3.48e-07
3210	1.70341	3.55e-07
3220	1.70308	3.63e-07
3230	1.70274	3.70e-07
3240	1.70240	3.78e-07
3250	1.70206	3.85e-07
3260	1.70171	3.93e-07
3270	1.70137	4.02e-07
3280	1.70102	4.10e-07
3290	1.70068	4.18e-07
3300	1.70033	4.27e-07
3310	1.69998	4.36e-07
3320	1.69962	4.45e-07
3330	1.69927	4.54e-07
3340	1.69891	4.63e-07
3350	1.69856	4.73e-07
3360	1.69820	4.83e-07
3370	1.69784	4.93e-07
3380	1.69748	5.03e-07
3390	1.69712	5.13e-07
3400	1.69675	5.24e-07
3410	1.69638	5.35e-07
3420	1.69602	5.46e-07
3430	1.69565	5.57e-07
3440	1.69528	5.69e-07
3450	1.69490	5.80e-07
3460	1.69453	5.92e-07
3470	1.69415	6.05e-07
3480	1.69377	6.17e-07
3490	1.69339	6.30e-07
3500	1.69301	6.43e-07
3510	1.69263	6.56e-07
3520	1.69225	6.70e-07
3530	1.69186	6.84e-07
3540	1.69147	6.98e-07
3550	1.69108	7.12e-07
3560	1.69069	7.27e-07
3570	1.69030	7.42e-07
3580	1.68990	7.57e-07
3590	1.68951	7.73e-07
3600	1.68911	7.89e-07
3610	1.68871	8.05e-07
3620	1.68831	8.22e-07
3630	1.68790	8.39e-07
3640	1.68750	8.56e-07
3650	1.68709	8.74e-07
3660	1.68668	8.92e-07
3670	1.68627	9.10e-07
3680	1.68586	9.29e-07
3690	1.68545	9.48e-07
3700	1.68503	9.68e-07
3710	1.68461	9.88e-07
3720	1.68419	1.01e-06
3730	1.68377	1.03e-06
3740	1.68335	1.05e-06
3750	1.68292	1.07e-06
3760	1.68249	1.09e-06
3770	1.68207	1.12e-06
3780	1.68163	1.14e-06
3790	1.68120	1.16e-06
3800	1.68077	1.19e-06
3810	1.68033	1.21e-06
3820	1.67989	1.24e-06
3830	1.67945	1.26e-06
3840	1.67901	1.29e-06
3850	1.67857	1.32e-06
3860	1.67812	1.34e-06
3870	1.67767	1.37e-06
3880	1.67722	1.40e-06
3890	1.67677	1.43e-06
3900	1.67631	1.46e-06
3910	1.67586	1.49e-06
3920	1.67540	1.52e-06
3930	1.67494	1.55e-06
3940	1.67448	1.58e-06
3950	1.67401	1.61e-06
3960	1.67355	1.65e-06
3970	1.67308	1.68e-06
3980	1.67261	1.72e-06
3990	1.67214	1.75e-06
4000	1.67166	1.79e-06
4010	1.67119	1.83e-06
4020	1.67071	1.86e-06
4030	1.67023	1.90e-06
4040	1.66974	1.94e-06
4050	1.66926	1.98e-06
4060	1.66877	2.02e-06
4070	1.66828	2.06e-06
4080	1.66779	2.11e-06
4090	1.66730	2.15e-06
4100	1.66680	2.19e-06
4110	1.66630	2.24e-06
4120	1.66580	2.29e-06
4130	1.66530	2.33e-06
4140	1.66480	2.38e-06
4150	1.66429	2.43e-06
4160	1.66378	2.48e-06
4170	1.66327	2.53e-06
4180	1.66276	2.59e-06
4190	1.66224	2.64e-06
4200	1.66172	2.69e-06
4210	1.66120	2.75e-06
4220	1.66068	2.81e-06
4230	1.66015	2.86e-06
4240	1.65963	2.92e-06
4250	1.65910	2.98e-06
4260	1.65857	3.04e-06
4270	1.65803	3.11e-06
4280	1.65749	3.17e-06
4290	1.65696	3.24e-06
4300	1.65641	3.30e-06
4310	1.65587	3.37e-06
4320	1.65532	3.44e-06
4330	1.65477	3.51e-06
4340	1.65422	3.59e-06
4350	1.65367	3.66e-06
4360	1.65311	3.74e-06
4370	1.65255	3.81e-06
4380	1.65199	3.89e-06
4390	1.65143	3.97e-06
4400	1.65086	4.05e-06
4410	1.65030	4.14e-06
4420	1.64972	4.22e-06
4430	1.64915	4.31e-06
4440	1.64857	4.40e-06
4450	1.64799	4.49e-06
4460	1.64741	4.58e-06
4470	1.64683	4.68e-06
4480	1.64624	4.78e-06
4490	1.64565	4.87e-06
4500	1.64506	4.98e-06
4510	1.64447	5.08e-06
4520	1.64387	5.18e-06
4530	1.64327	5.29e-06
4540	1.64267	5.40e-06
4550	1.64206	5.51e-06
4560	1.64145	5.63e-06
4570	1.64084	5.74e-06
4580	1.64023	5.86e-06
4590	1.63961	5.98e-06
4600	1.63899	6.11e-06
4610	1.63837	6.23e-06
4620	1.63774	6.36e-06
4630	1.63712	6.49e-06
4640	1.63649	6.63e-06
4650	1.63585	6.76e-06
4660	1.63522	6.90e-06
4670	1.63458	7.05e-06
4680	1.63393	7.19e-06
4690	1.63329	7.34e-06
4700	1.63264	7.49e-06
4710	1.63199	7.65e-06
4720	1.63134	7.80e-06
4730	1.63068	7.97e-06
4740	1.63002	8.13e-06
4750	1.62936	8.30e-06
4760	1.62869	8.47e-06
4770	1.62802	8.65e-06
4780	1.62735	8.82e-06
4790	1.62667	9.01e-06
4800	1.62599	9.19e-06
4810	1.62531	9.38e-06
4820	1.62463	9.58e-06
4830	1.62394	9.77e-06
4840	1.62325	9.98e-06
4850	1.62255	1.02e-05
4860	1.62186	1.04e-05
4870	1.62115	1.06e-05
4880	1.62045	1.08e-05
4890	1.61974	1.11e-05
4900	1.61903	1.13e-05
4910	1.61832	1.15e-05
4920	1.61760	1.18e-05
4930	1.61688	1.20e-05
4940	1.61616	1.22e-05
4950	1.61543	1.25e-05
4960	1.61470	1.28e-05
4970	1.61396	1.30e-05
4980	1.61323	1.33e-05
4990	1.61248	1.36e-05
5000	1.61174	1.38e-05
5010	1.61099	1.41e-05
5020	1.61024	1.44e-05
5030	1.60948	1.47e-05
5040	1.60873	1.50e-05
5050	1.60796	1.53e-05
5060	1.60720	1.56e-05
5070	1.60643	1.60e-05
5080	1.60565	1.63e-05
5090	1.60488	1.66e-05
5100	1.60410	1.70e-05
5110	1.60331	1.73e-05
5120	1.60252	1.77e-05
5130	1.60173	1.81e-05
5140	1.60093	1.84e-05
5150	1.60013	1.88e-05
5160	1.59933	1.92e-05
5170	1.59852	1.96e-05
5180	1.59771	2.00e-05
5190	1.59690	2.04e-05
5200	1.59608	2.08e-05
